debugfUMOt:debugPk3nE,initialized,0,,1660129614914
debugfUMOt:debugPk3nE,window_resize,0,"[1024, 731]",1660129614914
debugfUMOt:debugPk3nE,window_resize,279,"[1024, 731]",1660129615193
debugfUMOt:debugPk3nE,window_resize,2206,"[1440, 900]",1660129617399
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,initialized,0,,1660928940711
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,0,"[1280, 628]",1660928940711
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,2219,"[1280, 628]",1660928942930
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,54422,"[1280, 720]",1660928997352
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,1011366,off,1660930008718
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,3926,on,1660930012644
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,29753,off,1660930042397
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,1376,on,1660930043773
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,100761,off,1660930144534
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,1,on,1660930144535
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,19162,"[1280, 628]",1660930163697
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,4267,"[1032, 614]",1660930167964
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,7884,"[1280, 628]",1660930175848
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,2380,off,1660930178228
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,1606,on,1660930179834
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,9153,off,1660930188987
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,99,on,1660930189086
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,4733,off,1660930193819
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,32113,on,1660930225932
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,9867,off,1660930235799
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,4695,on,1660930240494
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,15774,off,1660930256268
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,10926,on,1660930267194
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,153921,off,1660930421115
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,0,on,1660930421115
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,window_resize,4347,"[1280, 720]",1660930425462
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,3382,off,1660930428844
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,1469,on,1660930430313
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,166217,off,1660930596530
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,2135,on,1660930598665
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,29555,off,1660930628220
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,1911,on,1660930630131
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,2521,off,1660930632652
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,2303,on,1660930634955
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,427535,off,1660931062490
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,focus,919,on,1660931063409
automated36:automated36,initialized,0,,1662371249629
automated36:automated36,window_resize,0,"[1024, 722]",1662371249629
automated36:automated36,focus,127,off,1662371249756
automated36:automated36,window_resize,145,"[1024, 722]",1662371249901
automated36:automated36,focus,375,on,1662371250276
automated36:automated36,window_resize,238,"[1920, 1035]",1662371250514
automated36:automated36,window_resize,1014,"[1024, 722]",1662371251528
automated36:automated36,focus,615,off,1662371252143
automated36:automated36,focus,192,on,1662371252335
