debugfUMOt:debugPk3nE,params,"{'CODE': 'aoudad', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Wed Aug 10 2022 13:06:55 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
5eb40f1f0d916d20d9db9144:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 1, 'startTime': 'Fri Aug 19 2022 19:09:03 GMT+0200 (hora de verano de Europa central)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
automated36:automated36,params,"{'CODE': 'CD8YV6VN', 'MIN_TIME': 7, 'inspectCost': 1, 'startTime': 'Mon Sep 05 2022 11:47:30 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60f5a773c448898bf72987bc:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 18:28:46 GMT+0200 (Horário de Verão da Europa Central)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60f5a773c448898bf72987bc:62ffb73fe31bae241538cb8a,final_score,1267.75
612288702a5316519e4e9602:630395ec3bbdf7a1062ff4c9,params,"{'CODE': 'CD8YV6VN', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Mon Aug 22 2022 16:57:27 GMT+0200 (South Africa Standard Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
612288702a5316519e4e9602:630395ec3bbdf7a1062ff4c9,final_score,1261.25
614dac7f309fad34961e6cd5:62f6237ed64dc454fe55122a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Fri Aug 12 2022 12:29:01 GMT+0200 (South Africa Standard Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
614dac7f309fad34961e6cd5:62f6237ed64dc454fe55122a,final_score,373.7
debugAYn4h:debugYzDRx,params,"{'CODE': 'guanaco', 'MIN_TIME': 7, 'inspectCost': 0.6, 'startTime': 'Tue Aug 02 2022 14:03:54 GMT+0200 (CEST)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debugAYn4h:debugYzDRx,final_score,273.2
debugmvbAU:debugUlAcC,params,"{'CODE': 'guanaco', 'MIN_TIME': 7, 'inspectCost': 0.6, 'startTime': 'Tue Aug 02 2022 14:39:18 GMT+0200 (CEST)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debug4zEiX:debugYrPJE,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Mon Aug 15 2022 13:45:33 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60d0e3cdd3e941278729a6df:62f6237ed64dc454fe55122a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Fri Aug 12 2022 12:09:50 GMT+0200 (czas środkowoeuropejski letni)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60d0e3cdd3e941278729a6df:62f6237ed64dc454fe55122a,final_score,1297.7
debugtLzwr:debugzcAu3,params,"{'CODE': 'guanaco', 'MIN_TIME': 7, 'inspectCost': 0.6, 'startTime': 'Tue Aug 02 2022 11:27:27 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debugtLzwr:debugzcAu3,final_score,-67.6
debugWcads:debugkFvJP,params,"{'CODE': 'aoudad', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Wed Aug 10 2022 15:06:55 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debugbpWSi:debugtAtBz,params,"{'CODE': 'guanaco', 'MIN_TIME': 7, 'inspectCost': 0.6, 'startTime': 'Tue Aug 02 2022 15:07:14 GMT+0200 (CEST)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
5e8a0912524dca6ad71ecb86:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 11:29:20 GMT-0500 (hora de verano central)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
61608ab68435ea63ed610145:62f6237ed64dc454fe55122a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Fri Aug 12 2022 12:20:15 GMT+0200 (South Africa Standard Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debug3rP661:debug433qx,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 1, 'startTime': 'Fri Aug 19 2022 17:55:41 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
613cfaecee50fc5d702c9cfc:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 11:28:03 GMT-0500 (hora de verano central)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60c49e68081928c86ba7b98a:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 18:30:03 GMT+0200 (Ora legale dell’Europa centrale)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60c49e68081928c86ba7b98a:62ffb73fe31bae241538cb8a,final_score,1345.25
60ad08c3ad95f90587de6c45:62f6237ed64dc454fe55122a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.3, 'startTime': 'Fri Aug 12 2022 11:09:49 GMT+0100 (Hora de verão da Europa Ocidental)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
60ad08c3ad95f90587de6c45:62f6237ed64dc454fe55122a,final_score,1320.1
5e1aed4331d8d93320bc6d4e:630395ec3bbdf7a1062ff4c9,params,"{'CODE': 'CD8YV6VN', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Mon Aug 22 2022 18:09:43 GMT+0300 (שעון ישראל (קיץ))', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
5e1aed4331d8d93320bc6d4e:630395ec3bbdf7a1062ff4c9,final_score,1382.5
6137dafbe514b520301ed443:630395ec3bbdf7a1062ff4c9,params,"{'CODE': 'CD8YV6VN', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Mon Aug 22 2022 17:04:42 GMT+0200 (South Africa Standard Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
6137dafbe514b520301ed443:630395ec3bbdf7a1062ff4c9,final_score,1471.75
automated25:automated25,params,"{'CODE': 'CD8YV6VN', 'MIN_TIME': 7, 'inspectCost': 1, 'startTime': 'Mon Sep 05 2022 09:00:55 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debug4P661:debug411qx,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 18:10:51 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
debu3542661:debug43251qx,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 18:11:25 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
5acdd627436f5500010046ac:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 0.25, 'startTime': 'Fri Aug 19 2022 18:32:47 GMT+0200 (hora de verano de Europa central)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
5c430039e972300001ac04f3:62ffb73fe31bae241538cb8a,params,"{'CODE': 'C6DMOQA6', 'MIN_TIME': 7, 'inspectCost': 1, 'startTime': 'Fri Aug 19 2022 18:28:41 GMT+0200 (czas środkowoeuropejski letni)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
5c430039e972300001ac04f3:62ffb73fe31bae241538cb8a,final_score,1088
automated32:automated32,params,"{'CODE': 'CD8YV6VN', 'MIN_TIME': 7, 'inspectCost': 1, 'startTime': 'Mon Sep 05 2022 10:16:52 GMT+0200 (Central European Summer Time)', 'bonusRate': 0.002, 'variance': '2_4_24', 'branching': '312'}"
